Price,Close
Ticker,EICHERMOT.NS
Date,
2024-12-27,4814.47265625
2024-12-30,4793.642578125
2024-12-31,4760.1767578125
2025-01-01,4822.76513671875
2025-01-02,5240.1533203125
2025-01-03,5242.76953125
2025-01-06,5182.89599609375
2025-01-07,5111.02734375
2025-01-08,5097.1083984375
2025-01-09,5074.1064453125
2025-01-10,4993.69921875
2025-01-13,4875.876953125
2025-01-14,4965.16845703125
2025-01-15,5016.8486328125
2025-01-16,4983.18505859375
2025-01-17,4948.1396484375
2025-01-20,4952.53271484375
2025-01-21,4906.33203125
2025-01-22,4945.5732421875
2025-01-23,5050.7099609375
2025-01-24,5139.65625
2025-01-27,5078.6474609375
2025-01-28,5040.0478515625
2025-01-29,5116.5556640625
2025-01-30,5098.24365234375
2025-01-31,5127.8095703125
2025-02-01,5321.15283203125
2025-02-03,5415.03564453125
2025-02-04,5380.33544921875
2025-02-05,5347.85693359375
2025-02-06,5273.619140625
2025-02-07,5303.7783203125
2025-02-10,5267.0546875
2025-02-11,4908.701171875
2025-02-12,4787.37451171875
2025-02-13,4758.69580078125
2025-02-14,4643.14453125
2025-02-17,4684.458984375
2025-02-18,4658.98876953125
2025-02-19,4749.021484375
2025-02-20,4825.82568359375
2025-02-21,4898.92822265625
2025-02-24,4946.65869140625
2025-02-25,4925.927734375
2025-02-27,4872.32275390625
2025-02-28,4712.4951171875
2025-03-03,4843.79296875
2025-03-04,4753.4638671875
2025-03-05,4924.44677734375
2025-03-06,5029.1884765625
2025-03-07,5035.408203125
2025-03-10,4926.66796875
2025-03-11,4921.73193359375
2025-03-12,4953.22412109375
2025-03-13,4951.0517578125
2025-03-17,4985.60400390625
2025-03-18,4985.60400390625
2025-03-19,5035.60546875
2025-03-20,5162.41162109375
2025-03-21,5238.03076171875
2025-03-24,5354.76708984375
2025-03-25,5361.72705078125
2025-03-26,5334.13427734375
2025-03-27,5277.3212890625
2025-03-28,5279.24658203125
2025-04-01,5239.26513671875
2025-04-02,5286.9462890625
2025-04-03,5310.29345703125
2025-04-04,5180.7236328125
2025-04-07,5000.412109375
2025-04-08,5164.3857421875
2025-04-09,5190.99072265625
2025-04-11,5282.4052734375
2025-04-15,5458.2255859375
2025-04-16,5543.6181640625
2025-04-17,5605.81201171875
2025-04-21,5736.1220703125
2025-04-22,5709.96142578125
2025-04-23,5666.52490234375
2025-04-24,5578.17041015625
2025-04-25,5504.13037109375
2025-04-28,5550.03515625
2025-04-29,5507.58544921875
2025-04-30,5495.7392578125
2025-05-02,5370.36474609375
2025-05-05,5390.6025390625
2025-05-06,5444.40478515625
2025-05-07,5418.73779296875
2025-05-08,5303.72900390625
2025-05-09,5255.849609375
2025-05-12,5449.3408203125
2025-05-13,5349.6337890625
2025-05-14,5376.78173828125
2025-05-15,5396.0322265625
2025-05-16,5438.97509765625
2025-05-19,5459.212890625
2025-05-20,5318.537109375
2025-05-21,5339.76171875
2025-05-22,5318.04345703125
2025-05-23,5330.876953125
2025-05-26,5358.02490234375
2025-05-27,5320.51123046875
2025-05-28,5258.31787109375
2025-05-29,5310.1455078125
2025-05-30,5265.22802734375
2025-06-02,5292.3759765625
2025-06-03,5285.4658203125
2025-06-04,5251.4072265625
2025-06-05,5240.54833984375
2025-06-06,5324.95361328125
2025-06-09,5321.9921875
2025-06-10,5308.6650390625
2025-06-11,5283.4912109375
2025-06-12,5247.45849609375
2025-06-13,5250.91357421875
2025-06-16,5296.32470703125
2025-06-17,5272.63232421875
2025-06-18,5323.96630859375
2025-06-19,5423.18017578125
2025-06-20,5454.27685546875
2025-06-23,5481.4248046875
2025-06-24,5556.94580078125
2025-06-25,5504.6240234375
2025-06-26,5539.66943359375
2025-06-27,5587.548828125
2025-06-30,5584.09375
2025-07-01,5642.33837890625
2025-07-02,5649.24853515625
2025-07-03,5642.83203125
2025-07-04,5556.94580078125
2025-07-07,5609.7607421875
2025-07-08,5606.79931640625
2025-07-09,5622.1005859375
2025-07-10,5579.6513671875
2025-07-11,5540.65673828125
2025-07-14,5469.57861328125
2025-07-15,5519.43212890625
2025-07-16,5554.4775390625
2025-07-17,5577.6767578125
2025-07-18,5555.46484375
2025-07-21,5486.8544921875
2025-07-22,5369.87109375
2025-07-23,5371.845703125
2025-07-24,5398.99365234375
2025-07-25,5363.45458984375
2025-07-28,5317.05615234375
2025-07-29,5400.474609375
2025-07-30,5410.83984375
2025-07-31,5398.5
2025-08-01,5528.0
2025-08-04,5621.0
2025-08-05,5681.0
2025-08-06,5668.0
2025-08-07,5681.5
2025-08-08,5663.0
2025-08-11,5671.5
2025-08-12,5658.0
2025-08-13,5714.5
2025-08-14,5764.0
2025-08-18,5912.0
2025-08-19,5938.5
2025-08-20,5937.5
2025-08-21,5975.0
2025-08-22,5924.5
2025-08-25,5990.5
2025-08-26,6151.0
2025-08-28,6133.0
2025-08-29,6103.0
2025-09-01,6280.0
2025-09-02,6349.0
2025-09-03,6371.5
2025-09-04,6425.0
2025-09-05,6580.5
2025-09-08,6815.0
2025-09-09,6874.5
2025-09-10,6836.5
2025-09-11,6758.0
2025-09-12,6875.0
2025-09-15,6801.0
2025-09-16,6927.5
2025-09-17,6890.5
2025-09-18,6924.5
2025-09-19,6973.5
2025-09-22,6946.0
2025-09-23,6990.5
2025-09-24,7011.5
2025-09-25,6986.0
2025-09-26,7047.0
2025-09-29,6985.0
2025-09-30,7005.5
2025-10-01,7021.5
2025-10-03,6941.0
2025-10-06,6880.0
2025-10-07,6957.0
2025-10-08,6902.5
2025-10-09,6896.5
2025-10-10,6965.0
2025-10-13,6912.0
2025-10-14,6887.0
2025-10-15,6895.0
2025-10-16,6988.0
2025-10-17,7042.5
2025-10-20,7013.5
2025-10-21,7018.5
2025-10-23,6884.5
2025-10-24,6840.0
2025-10-27,6906.5
2025-10-28,7002.5
2025-10-29,6952.0
2025-10-30,6889.0
2025-10-31,7007.0
2025-11-03,7023.5
2025-11-04,6930.0
2025-11-06,6806.5
2025-11-07,6886.0
2025-11-10,6866.5
2025-11-11,6873.0
2025-11-12,6879.0
2025-11-13,6855.0
2025-11-14,6695.0
2025-11-17,6799.0
2025-11-18,6814.5
2025-11-19,6896.5
2025-11-20,7125.5
2025-11-21,7134.5
2025-11-24,7258.5
2025-11-25,7218.5
2025-11-26,7198.5
2025-11-27,6999.0
2025-11-28,7053.5
2025-12-01,7125.5
2025-12-02,7112.5
2025-12-03,7081.5
2025-12-04,7100.0
2025-12-05,7208.0
2025-12-08,7142.0
2025-12-09,7123.0
2025-12-10,7228.5
2025-12-11,7256.0
2025-12-12,7229.0
2025-12-15,7121.5
2025-12-16,7061.5
2025-12-17,7134.5
2025-12-18,7106.5
2025-12-19,7217.0
2025-12-22,7291.5
2025-12-23,7303.0
2025-12-24,7312.5
2025-12-26,7324.0
2025-12-29,7272.0
2025-12-30,7192.5
2025-12-31,7312.5
2026-01-01,7348.0
2026-01-02,7334.5
2026-01-05,7482.5
2026-01-06,7522.5
2026-01-07,7582.5
2026-01-08,7551.0
2026-01-09,7507.0
2026-01-12,7436.0
2026-01-13,7404.0
2026-01-14,7358.0
2026-01-15,7358.0
2026-01-16,7315.0
2026-01-19,7323.5
2026-01-20,7173.5
2026-01-21,7140.0
2026-01-22,7049.0
2026-01-23,6973.0
2026-01-27,7164.5
2026-01-28,7071.0
2026-01-29,7056.5
2026-01-30,7122.5
2026-02-02,6985.5
2026-02-03,7215.0
2026-02-04,7277.5
2026-02-05,7209.5
2026-02-06,7177.5
2026-02-09,7195.5
2026-02-10,7296.0
2026-02-11,7771.0
2026-02-12,7943.0
2026-02-13,8065.0
2026-02-16,8010.5
2026-02-17,8035.0
2026-02-18,8009.5
2026-02-19,7897.0
2026-02-20,7936.5
2026-02-23,8038.5
2026-02-24,7929.0
2026-02-25,8008.0
2026-02-26,8190.0
2026-02-27,8010.5
2026-03-02,7826.0
